Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,class
540,0,0,162,2.5,1040,676,28,79.986111
540,0,0,162,2.5,1055,676,28,61.887366
332.5,142.5,0,228,0,932,594,270,40.269535
332.5,142.5,0,228,0,932,594,365,41.05278
198.6,132.4,0,192,0,978.4,825.5,360,44.296075
266,114,0,228,0,932,670,90,47.029847
380,95,0,228,0,932,594,365,43.698299
380,95,0,228,0,932,594,28,36.44777
266,114,0,228,0,932,670,28,45.854291
475,0,0,228,0,932,594,28,39.289790000000004
198.6,132.4,0,192,0,978.4,825.5,90,38.074244
198.6,132.4,0,192,0,978.4,825.5,28,28.021684
427.5,47.5,0,228,0,932,594,270,43.01296
190,190,0,228,0,932,670,90,42.326932
304,76,0,228,0,932,670,28,47.813782
380,0,0,228,0,932,670,90,52.90832
139.6,209.4,0,192,0,1047,806.9,90,39.358048
342,38,0,228,0,932,670,365,56.141962
380,95,0,228,0,932,594,90,40.563252
475,0,0,228,0,932,594,180,42.620648
427.5,47.5,0,228,0,932,594,180,41.836714
139.6,209.4,0,192,0,1047,806.9,28,28.23749
139.6,209.4,0,192,0,1047,806.9,3,8.063422
139.6,209.4,0,192,0,1047,806.9,180,44.207822
380,0,0,228,0,932,670,365,52.516697
380,0,0,228,0,932,670,270,53.300632
380,95,0,228,0,932,594,270,41.151375
342,38,0,228,0,932,670,180,52.124386
427.5,47.5,0,228,0,932,594,28,37.427515
475,0,0,228,0,932,594,7,38.603761
304,76,0,228,0,932,670,365,55.260122
266,114,0,228,0,932,670,365,52.90832
198.6,132.4,0,192,0,978.4,825.5,180,41.719503
475,0,0,228,0,932,594,270,42.13112
190,190,0,228,0,932,670,365,53.692254
237.5,237.5,0,228,0,932,594,270,38.40795
237.5,237.5,0,228,0,932,594,28,30.079769
332.5,142.5,0,228,0,932,594,90,37.721921
475,0,0,228,0,932,594,90,42.229026
237.5,237.5,0,228,0,932,594,180,36.251959
342,38,0,228,0,932,670,90,50.459301
427.5,47.5,0,228,0,932,594,365,43.698299
237.5,237.5,0,228,0,932,594,365,38.995384
380,0,0,228,0,932,670,180,53.104131
427.5,47.5,0,228,0,932,594,90,41.542997
427.5,47.5,0,228,0,932,594,7,35.076402
349,0,0,192,0,1047,806.9,3,15.049193
