Inhabitants,Distance,class
15,605,2146
13,696.669983,2148
25,443.329987,2178
22,373.329987,1322
19,340,1075
21,523.330017,1697
34,240,773
8,290,358
23,395,1614
9,486.670013,1092
41,500,2891
17,533.330017,1330
39,380,1660
12,165,356
40,290,1058
25,158.330002,365
52,398.329987,1284
11,316.670013,642
29,180,621
5,186.669998,389
56,320,1146
19,443.329987,1011
46,323.329987,1032
6,300,668
57,580,3357
78,813.330017,4765
26,590,2389
15,553.330017,1617
32,270,909
43,400,1671
39,396.670013,1720
11,293.329987,739
25,360,1087
28,673.330017,1723
57,666.669983,2553
20,900,2628
21,963.330017,1588
24,230,764
24,420,2082
90,341.670013,1623
9,366.670013,1113
39,326.670013,1161
69,443.329987,1562
19,623.330017,1663
25,433.329987,1500
29,373.329987,1682
26,365,1441
79,416.670013,2557
31,718.330017,1948
29,541.669983,2312
28,448.329987,1599
1,120,212
2,105,80
1,80,80
1,150,150
28,456.670013,1349
19,138.330002,466
57,211.669998,817
24,280,666
40,361.670013,1030
142,281.670013,1971
7,1000,1453
23,683.330017,1873
7,340,1284
2,380,737
41,135,811
26,86.669998,231
12,176.669998,357
18,713.330017,2253
8,526.669983,987
75,346.670013,1531
70,591.669983,3221
31,476.670013,1370
23,303.329987,1003
20,370,921
3,60,96
4,210,456
39,335,883
10,201.669998,574
47,636.669983,1409
8,291.670013,475
10,405,621
35,396.670013,1168
24,223.330002,592
19,510,1895
26,393.329987,1676
16,266.670013,905
11,213.330002,657
4,126.669998,392
34,518.330017,2470
27,763.330017,1799
27,533.330017,1192
21,506.670013,1730
38,258.329987,734
35,671.669983,2071
20,358.329987,599
23,493.329987,1404
16,738.330017,1805
18,716.669983,2274
18,128.330002,516
16,280,638
19,323.329987,657
45,603.330017,2225
11,313.329987,1141
16,596.669983,1108
10,458.329987,744
39,520,2199
32,316.670013,1036
33,710,1391
11,258.329987,913
92,793.330017,1855
40,673.330017,2145
44,456.670013,1834
15,610,1736
10,258.329987,432
34,280,733
3,95,123
18,226.669998,386
31,546.669983,1764
30,386.670013,1083
28,513.330017,2082
68,240,643
67,501.670013,1953
27,288.329987,1229
8,456.670013,903
13,733.330017,864
44,366.670013,1635
15,486.670013,1325
16,373.329987,1000
8,500,1176
24,350,915
19,775,2737
12,600,1898
15,263.329987,910
29,340,755
27,480,1491
22,433.329987,1706
25,520,1789
11,453.329987,897
5,368.329987,656
45,563.330017,2097
35,586.669983,2629
77,1006.669983,5932
14,566.669983,2797
15,476.670013,1336
26,376.670013,1803
