Input1,Input2,Input3,Input4,class
95,32,138,111,48
41,72,111,48,23
21,111,23,19,27
32,48,19,27,59
72,23,27,59,129
138,19,59,129,129
48,59,129,58,27
23,129,58,27,19
27,58,19,24,46
59,27,24,46,112
129,19,46,112,144
129,24,112,144,73
58,46,144,73,30
27,112,73,30,20
19,144,30,20,19
24,73,20,19,37
46,30,19,37,92
144,19,92,152,93
73,37,152,93,36
20,152,36,20,18
19,93,20,18,29
37,36,18,29,71
92,20,29,71,146
152,18,71,146,117
36,71,117,46,23
20,146,46,23,18
18,117,23,18,22
29,46,18,22,52
71,23,22,52,128
146,18,52,128,142
46,52,142,62,26
23,128,62,26,17
18,142,26,17,19
52,26,19,37,100
128,17,37,100,158
142,19,100,158,86
62,37,158,86,32
26,100,86,32,17
17,158,32,17,17
19,86,17,17,27
37,32,17,27,72
158,17,72,154,118
17,154,43,20,15
17,118,20,15,21
27,43,15,21,47
72,20,21,47,128
154,15,47,128,150
118,21,128,150,63
43,47,150,63,24
20,128,63,24,16
15,150,24,16,17
21,63,16,17,33
47,24,17,33,92
128,16,33,92,166
150,17,92,166,95
63,33,166,95,33
24,92,95,33,16
16,166,33,16,14
17,95,16,14,22
166,14,58,149,137
95,22,149,137,50
33,58,137,50,20
16,149,50,20,15
22,50,15,16,35
58,20,16,35,106
149,15,35,106,169
137,16,106,169,82
50,35,169,82,28
20,106,82,28,15
16,82,15,14,23
35,28,14,23,65
106,15,23,65,160
82,23,160,133,45
23,45,14,16,36
65,18,16,36,111
160,14,36,111,176
133,16,111,176,80
45,36,176,80,26
18,111,80,26,14
14,176,26,14,13
16,80,14,13,20
36,26,13,20,60
111,14,20,60,163
176,13,60,163,140
80,20,163,140,45
26,60,140,45,18
14,163,45,18,12
13,140,18,12,14
60,18,14,30,98
140,14,98,185,93
45,30,185,93,28
18,98,93,28,14
12,185,28,14,12
14,93,14,12,17
30,28,12,17,46
98,14,17,46,145
185,12,46,145,167
93,17,145,167,58
28,46,167,58,19
12,167,19,11,12
17,58,11,12,21
46,19,12,21,68
145,11,21,68,183
167,12,68,183,132
58,21,183,132,38
19,68,132,38,15
11,183,38,15,11
12,132,15,11,13
21,38,11,13,26
68,15,13,26,93
183,11,26,93,202
132,13,93,202,100
38,26,202,100,27
15,93,100,27,12
11,202,27,12,10
26,27,10,13,30
93,12,13,30,114
202,10,30,114,206
12,114,82,21,11
13,82,11,9,10
30,21,9,10,30
114,11,10,30,120
206,9,30,120,215
21,30,215,77,20
9,215,20,10,8
30,20,8,9,21
120,10,9,21,95
215,8,21,95,234
77,9,95,234,99
20,21,234,99,22
10,95,99,22,9
8,234,22,9,8
9,99,9,8,7
21,22,8,7,9
95,9,7,9,35
234,8,9,35,176
99,7,35,176,215
22,9,176,215,46
9,35,215,46,11
8,176,46,11,7
7,215,11,7,5
9,46,7,5,4
35,11,5,4,3
176,7,4,3,4
46,4,4,19,105
11,3,19,105,125
7,4,105,125,55
5,19,125,55,30
4,105,55,30,28
4,55,28,41,71
105,28,71,98,79
55,71,79,49,34
28,79,34,33,47
41,49,33,47,75
71,34,47,75,95
98,33,75,95,76
79,47,95,76,48
34,95,48,34,35
33,76,34,35,49
47,48,35,49,78
75,34,49,78,96
95,35,78,96,75
76,49,96,75,47
48,78,75,47,34
34,96,47,34,34
35,75,34,34,49
49,47,34,49,81
78,34,49,81,99
75,49,99,76,46
47,81,76,46,32
34,99,46,32,33
49,46,33,49,83
81,32,49,83,101
99,33,83,101,74
76,49,101,74,44
46,83,74,44,32
32,101,44,32,33
33,74,32,33,50
49,44,33,50,85
83,32,50,85,103
101,33,85,103,73
74,50,103,73,43
44,85,73,43,30
32,103,43,30,31
33,73,30,31,49
50,43,31,49,85
103,31,85,106,74
73,49,106,74,43
30,106,43,31,31
31,74,31,31,49
49,43,31,49,87
85,31,49,87,109
74,49,109,76,41
43,87,76,41,29
31,109,41,29,30
31,76,29,30,47
49,41,30,47,87
109,30,87,110,76
76,47,110,76,41
41,87,76,41,28
29,110,41,28,30
30,76,28,30,47
47,41,30,47,88
87,28,47,88,114
110,30,88,114,79
76,47,114,79,41
41,88,79,41,28
28,114,41,28,28
30,79,28,28,45
47,41,28,45,86
114,28,86,117,82
79,45,117,82,42
41,86,82,42,26
45,42,26,43,84
86,26,43,84,119
117,26,84,119,85
82,43,119,85,42
42,84,85,42,26
26,119,42,26,25
26,85,26,25,39
43,42,25,39,80
84,26,39,80,121
85,39,121,90,43
42,80,90,43,26
26,121,43,26,24
25,90,26,24,36
39,43,24,36,76
80,26,36,76,123
121,24,76,123,96
90,36,123,96,46
43,76,96,46,26
26,123,46,26,23
24,96,26,23,35
36,46,23,35,72
76,26,35,72,123
123,23,72,123,102
46,72,102,50,27
26,123,50,27,22
23,102,27,22,31
35,50,22,31,64
72,27,31,64,121
123,22,64,121,110
50,64,110,53,27
27,121,53,27,21
22,110,27,21,28
31,53,21,28,57
64,27,28,57,117
110,28,117,120,59
53,57,120,59,28
21,120,28,20,25
57,28,25,49,109
28,109,68,31,20
20,128,31,20,23
25,68,20,23,43
109,20,43,98,135
128,23,98,135,77
68,43,135,77,34
31,98,77,34,22
20,135,34,22,22
98,22,36,86,139
135,22,86,139,91
77,36,139,91,38
34,86,91,38,21
22,139,38,21,19
22,91,21,19,30
36,38,19,30,73
86,21,30,73,137
139,19,73,137,107
91,30,137,107,44
38,73,107,44,23
21,137,44,23,19
19,107,23,19,26
30,44,19,26,59
137,19,59,129,125
44,59,125,55,24
23,129,55,24,18
19,125,24,18,22
129,18,47,114,140
125,22,114,140,68
55,47,140,68,28
24,114,68,28,18
18,140,28,18,19
114,18,36,93,150
140,19,93,150,88
68,36,150,88,34
28,93,88,34,19
18,150,34,19,18
19,88,19,18,28
150,18,72,147,112
88,28,147,112,43
34,72,112,43,20
19,147,43,20,16
18,112,20,16,23
28,43,16,23,53
72,20,23,53,131
43,53,137,58,24
20,131,58,24,16
16,137,24,16,19
53,24,19,38,104
131,16,38,104,156
58,38,156,80,30
16,156,30,17,16
19,80,17,16,28
38,30,16,28,75
104,17,28,75,156
156,16,75,156,112
80,28,156,112,40
30,75,112,40,18
17,156,40,18,15
16,112,18,15,21
28,40,15,21,51
75,18,21,51,132
156,15,51,132,145
18,132,59,22,15
15,145,22,15,17
21,59,15,17,32
51,22,17,32,96
145,17,96,164,89
59,32,164,89,30
22,96,89,30,16
17,89,16,14,24
32,30,14,24,62
96,16,24,62,153
164,14,62,153,130
89,24,153,130,46
30,62,130,46,19
16,153,46,19,13
24,46,13,17,37
62,19,17,37,113
153,13,37,113,165
130,17,113,165,75
46,37,165,75,25
13,165,25,14,13
37,25,13,24,68
113,14,24,68,164
165,13,68,164,123
75,24,164,123,40
25,68,123,40,17
14,164,40,17,13
13,123,17,13,16
24,40,13,16,38
68,17,16,38,118
164,13,38,118,170
40,38,170,71,24
13,170,24,13,12
16,71,13,12,22
38,24,12,22,65
118,13,22,65,167
170,12,65,167,129
71,22,167,129,40
24,65,129,40,16
13,167,40,16,12
12,129,16,12,14
22,40,12,14,33
65,16,14,33,107
167,12,33,107,182
129,14,107,182,81
40,33,182,81,24
16,107,81,24,12
12,182,24,12,11
14,81,12,11,17
107,12,17,51,156
182,11,51,156,155
81,17,156,155,49
24,51,155,49,17
12,156,49,17,11
11,155,17,11,11
17,49,11,11,23
51,17,11,23,77
156,11,23,77,189
155,11,77,189,115
49,23,189,115,32
17,77,115,32,13
11,189,32,13,9
11,115,13,9,12
23,32,9,12,30
189,9,30,107,197
115,12,107,197,82
32,30,197,82,23
13,107,82,23,10
9,197,23,10,9
30,23,9,12,36
107,10,12,36,134
197,9,36,134,192
82,12,134,192,64
10,134,64,18,10
9,192,18,10,8
36,18,8,13,37
134,10,13,37,148
192,8,37,148,195
10,148,58,16,9
8,195,16,9,8
148,9,10,29,132
195,8,29,132,220
58,10,132,220,67
16,29,220,67,15
9,132,67,15,8
8,220,15,8,6
10,67,8,6,7
29,15,6,7,14
132,8,7,14,66
220,6,14,66,237
15,14,237,137,25
8,66,137,25,9
6,237,25,9,6
7,137,9,6,5
14,25,6,5,4
66,9,5,4,5
137,5,5,25,165
25,4,25,165,233
9,5,165,233,51
6,25,233,51,12
5,165,51,12,7
5,51,7,7,7
25,12,7,7,18
165,7,7,18,80
233,7,18,80,201
12,18,201,109,29
7,80,109,29,12
7,201,29,12,10
7,109,12,10,14
18,29,10,14,38
80,12,14,38,128
201,10,38,128,169
109,14,128,169,63
12,128,63,20,11
10,169,20,11,11
14,63,11,11,23
38,20,11,23,74
128,11,23,74,173
169,11,74,173,114
63,23,173,114,34
20,74,114,34,14
11,114,14,11,14
23,34,11,14,37
74,14,14,37,122
173,11,37,122,172
114,14,122,172,67
34,37,172,67,21
14,122,67,21,11
11,172,21,11,11
37,21,11,20,64
172,11,64,169,131
67,20,169,131,39
11,169,39,13,9
11,131,13,9,12
20,39,9,12,28
64,13,12,28,100
169,9,28,100,188
9,188,25,11,10
12,88,11,10,14
28,25,10,14,41
100,11,14,41,141
188,10,41,141,176
25,41,176,57,17
11,141,57,17,10
10,176,17,10,10
14,57,10,10,16
141,10,16,56,175
176,10,56,175,149
57,16,175,149,41
10,175,41,14,8
10,149,14,8,9
16,41,8,9,18
56,14,9,18,67
175,8,18,67,196
149,9,67,196,130
41,18,196,130,32
14,67,130,32,11
9,130,11,8,7
18,32,8,7,17
67,11,7,17,66
130,7,66,207,131
32,17,207,131,30
11,66,131,30,10
8,207,30,10,7
17,30,7,6,12
66,10,6,12,48
207,7,12,48,193
131,6,48,193,172
10,48,172,39,11
7,193,39,11,7
12,39,7,6,6
48,11,6,6,16
193,7,6,16,86
172,6,16,86,255
39,6,86,255,107
11,16,255,107,19
7,86,107,19,8
6,255,19,8,5
6,107,8,5,4
16,19,5,4,3
255,5,3,2,2
107,4,2,2,7
19,3,2,7,23
5,2,23,8,6
4,7,8,6,8
3,23,6,8,16
2,8,8,16,33
7,8,33,57,65
8,33,65,56,46
6,57,56,46,46
16,56,46,54,64
33,46,54,64,66
57,46,64,66,59
65,54,66,59,49
56,64,59,49,46
46,66,49,46,48
46,59,46,48,58
54,49,48,58,67
66,48,67,67,60
49,67,60,50,47
46,67,50,47,51
48,60,47,51,60
58,50,51,60,69
67,47,60,69,68
67,51,69,68,58
60,60,68,58,50
50,69,58,50,46
47,68,50,46,52
51,58,46,52,61
50,71,58,48,46
46,68,48,46,53
52,58,46,53,64
61,48,53,64,72
71,46,64,72,68
68,53,72,68,56
58,64,68,56,47
48,72,56,47,45
64,47,53,65,73
72,45,65,73,67
68,53,73,67,54
56,65,67,54,46
47,73,54,46,46
45,67,46,46,55
53,54,46,55,67
73,46,67,74,66
54,67,66,54,44
46,74,54,44,46
46,66,44,46,55
74,46,70,76,66
66,55,76,66,51
54,70,66,51,45
44,76,51,45,46
46,66,45,46,58
55,51,46,58,73
70,45,58,73,77
66,58,77,65,52
46,65,44,46,59
58,52,46,59,75
77,46,75,78,64
65,59,78,64,49
52,75,64,49,43
44,78,49,43,47
46,64,43,47,61
59,49,47,61,78
75,43,61,78,79
78,47,78,79,63
49,78,63,47,43
43,79,47,43,47
47,63,43,47,63
61,47,47,63,80
78,43,63,80,79
79,47,80,79,61
47,80,61,46,42
43,79,46,42,48
47,61,42,48,66
63,46,48,66,84
80,42,66,84,80
79,48,84,80,60
61,66,80,60,46
42,80,46,42,50
48,60,42,50,68
66,46,50,68,86
84,42,68,86,80
80,50,86,80,59
46,86,59,43,41
42,80,43,41,50
50,59,41,50,71
68,43,50,71,88
86,41,71,88,79
59,71,79,56,41
43,88,56,41,41
41,79,41,41,51
50,56,41,51,73
71,41,51,73,91
88,41,73,91,78
79,51,91,78,55
41,78,41,40,52
51,55,40,52,75
73,41,52,75,94
91,40,75,94,78
78,52,94,78,54
55,75,78,54,39
41,94,54,39,40
40,78,39,40,52
75,39,52,79,95
78,52,95,76,50
54,79,76,50,37
39,95,50,37,38
40,76,37,38,52
79,37,52,80,97
76,52,97,76,50
50,80,76,50,36
37,97,50,36,37
38,76,36,37,54
52,50,37,54,83
80,36,54,83,98
50,83,74,47,34
36,98,47,34,37
54,47,37,53,85
98,37,85,100,74
47,85,74,45,34
34,100,45,34,35
37,74,34,35,54
53,45,35,54,87
85,34,54,87,103
100,35,87,103,72
74,54,103,72,43
45,87,72,43,33
34,103,43,33,35
35,72,33,35,53
87,33,53,88,103
103,35,88,103,73
43,88,73,43,32
33,103,43,32,33
35,73,32,33,53
53,43,33,53,91
88,32,53,91,105
103,33,91,105,72
73,53,105,72,41
43,91,72,41,31
32,105,41,31,33
33,72,31,33,54
91,31,54,91,108
105,33,91,108,72
72,54,108,72,41
41,91,72,41,30
31,108,41,30,32
33,72,30,32,51
54,41,32,51,93
91,30,51,93,111
108,32,93,111,74
41,93,74,41,29
32,74,29,31,51
51,41,31,51,93
93,29,51,93,113
74,51,113,75,40
41,93,75,40,29
29,113,40,29,30
31,75,29,30,49
51,40,30,49,92
93,29,49,92,118
75,49,118,78,41
40,92,78,41,28
29,118,41,28,29
49,41,29,46,90
92,28,46,90,120
118,29,90,120,82
41,90,82,42,29
29,82,29,28,45
90,29,45,88,124
120,28,88,124,86
82,45,124,86,43
42,88,86,43,27
28,86,27,27,41
45,43,27,41,83
88,27,41,83,126
43,83,91,45,27
27,126,45,27,26
27,91,27,26,38
83,27,38,78,127
126,26,78,127,99
91,38,127,99,47
45,78,99,47,27
27,127,47,27,24
26,99,27,24,35
127,24,72,126,106
99,35,126,106,52
47,72,106,52,28
27,126,52,28,23
35,52,23,32,65
72,28,32,65,123
126,23,65,123,116
52,65,116,56,29
28,123,56,29,22
23,116,29,22,28
32,56,22,28,56
65,29,28,56,117
123,22,56,117,126
116,28,117,126,64
56,56,126,64,30
22,126,30,22,27
56,30,27,49,107
117,22,49,107,133
126,27,107,133,74
64,49,133,74,32
30,107,74,32,21
22,133,32,21,23
27,74,21,23,41
107,21,41,95,140
32,95,84,36,21
21,140,36,21,21
41,36,21,35,80
84,35,141,99,42
36,80,99,42,22
21,141,42,22,20
21,99,22,20,29
80,22,29,67,135
141,20,67,135,117
99,29,135,117,49
22,135,49,24,18
20,117,24,18,25
67,24,25,52,122
135,18,52,122,134
117,25,122,134,62
49,52,134,62,26
24,122,62,26,18
25,62,18,20,41
52,26,20,41,104
134,20,104,148,79
62,41,148,79,32
26,104,79,32,18
18,148,32,18,19
20,79,18,19,32
41,32,19,32,82
104,18,32,82,151
148,19,82,151,100
79,32,151,100,39
32,82,100,39,19
19,100,19,17,25
82,19,25,62,140
151,17,62,140,128
100,25,140,128,52
39,62,128,52,22
19,140,52,22,17
17,128,22,17,21
25,52,17,21,44
140,17,44,116,150
128,21,116,150,71
22,116,71,27,18
17,150,27,18,18
44,27,18,32,88
116,18,32,88,159
71,32,159,98,36
18,159,36,19,16
32,36,16,25,61
88,19,25,61,146
98,25,146,132,52
36,61,132,52,21
19,146,52,21,17
16,132,21,17,19
25,52,17,19,41
61,21,19,41,113
146,17,41,113,161
132,19,113,161,76
52,41,161,76,28
21,113,76,28,16
17,161,28,16,16
19,76,16,16,28
41,28,16,28,77
161,16,77,163,114
76,28,163,114,39
16,114,19,15,20
163,15,47,132,156
114,20,132,156,62
19,132,62,24,15
15,156,24,15,16
